Word;Indices
SIGNIFIC;[1, 356, 356, 356, 356]
PSEUDOMONA;[1, 1, 1]
AERUGINOSA;[1, 1, 1]
INFECT;[1, 1, 1, 782]
RESPIRATORI;[1, 1, 1]
TRACT;[1, 1, 1]
CYSTIC;[1, 168, 168, 583, 782, 981]
FIBROSI;[1, 168, 168, 583, 782, 981]
PATIENT;[1, 1, 1, 1, 168, 168, 583, 583, 782, 782, 782, 981, 981]
STUDI;[1, 356, 782, 782, 981]
MEAN;[1, 356, 356, 356]
IMMUNOELECTROPHORET;[1]
ANALYSI;[1]
SERA;[1, 1]
NUMBER;[1, 1, 1]
PRECIPITIN;[1, 1, 1, 1, 1, 1]
CONCENTR;[1, 1, 1, 583, 981, 981, 981]
SERUM;[1, 1, 1, 356, 356, 356, 356]
PROTEIN;[1, 1, 1, 1]
ADDIT;[1, 782]
CLINIC;[1, 782]
RADIOGRAPH;[1]
STATU;[1]
LUNG;[1]
EVALU;[1]
USE;[1, 782, 782]
SCORE;[1]
SYSTEM;[1]
DEMONSTR;[1]
MAXIMUM;[1]
ONE;[1, 168, 782]
SIGNIFICANTLI;[1, 356]
CHANG;[1, 1, 356, 782, 782, 782]
COMPAR;[1]
MATCH;[1]
CONTROL;[1, 356, 356, 356, 981]
PERSON;[1, 981]
NOTABL;[1, 1]
IGG;[1]
IGA;[1]
ELEV;[1, 356, 981]
ACUT;[1, 1, 782, 782, 782]
PHASE;[1, 1]
LATTER;[1, 583]
SUGGEST;[1, 1]
ACTIV;[1, 356, 356, 356, 356, 356, 356]
TISSU;[1, 1, 1]
DAMAG;[1, 1]
HAPTOGLOBIN;[1]
CORREL;[1]
MANI;[1, 1]
ACCOMPANI;[1]
RESULT;[1, 356]
INDIC;[1]
PROTECT;[1]
VALU;[1, 356, 356]
GENER;[168]
HEREDITARI;[168]
DISORD;[168]
CHILDREN;[168, 356, 356, 782, 782, 782, 782, 782]
ADOLESC;[168]
YOUNG;[168]
ADULT;[168, 356]
WIDESPREAD;[168]
DYSFUNCT;[168]
MUCU;[168]
SECRET;[168]
GLAND;[168]
CONDIT;[168]
MAY;[168, 782]
CHARACTER;[168]
FOLLOW;[168]
CHRONIC;[168, 782, 782, 782]
PULMONARI;[168]
DISEAS;[168, 168, 782]
PANCREAT;[168, 583, 981]
ENZYM;[168, 583]
DEFICI;[168]
ABNORM;[168]
HIGH;[168]
SWEAT;[168, 583, 981, 981, 981]
ELECTROLYT;[168, 583]
HENC;[168]
TREAT;[168]
INDIVIDU;[168]
BASI;[168]
PARENT;[168]
TIE;[168]
RIGID;[168]
REGIM;[168]
IMPOS;[168]
MUST;[168]
HELP;[168, 168, 168]
VOLUNT;[168]
NEED;[168, 168]
SUPPORT;[168]
ASSIST;[168]
HOME;[168]
SCHOOL;[168]
STILL;[168]
LOT;[168]
KNOWLEDG;[168]
UNDERSTAND;[168]
PART;[168]
NURS;[168]
PROFESS;[168]
GREAT;[168]
DEAL;[168]
TOTAL;[356, 356, 356, 356, 356]
AMYLAS;[356, 356, 356, 356, 356]
MIX;[356]
SALIVA;[356, 356]
HOMOZYGOT;[356, 356, 356, 583, 583, 583]
HETEROZYGOT;[356, 356, 356, 356, 583, 583, 583]
MUCOVISCIDOSI;[356]
HEALTHI;[356, 356, 356, 356, 356, 583]
SUBJECT;[356]
EXCEED;[356, 981]
NEARLI;[356]
CASE;[356, 583, 782, 782, 981]
GIVEN;[356]
LITERATUR;[356]
OBSERV;[356]
NORMAL;[356, 583, 981]
DIFFER;[356, 356, 356, 356, 981]
GROUP;[356, 356, 356, 356, 356, 356, 583, 583, 981]
LESS;[356, 356, 356, 583]
AGRE;[356]
WITHOUT;[356]
HIGHER;[356]
HOMOZYG;[356]
STRONGLI;[356]
HETEROZYG;[356]
COMBIN;[356, 782]
ALSO;[356]
SALIVARI;[356]
SLIGHTLI;[356]
TWELV;[583]
THIRTI;[583]
TWO;[583, 782, 981]
GENE;[583, 583]
CARRIER;[583, 583]
FAMILI;[583]
HLA;[583, 583]
TYPE;[583, 583, 782]
DIAGNOST;[583]
CRITERIA;[583]
LEVEL;[583]
DUODEN;[583]
JUIC;[583]
STOOL;[583]
SZCZEPANSKI;[583]
BROMID;[583]
TEST;[583]
COMPARISON;[583]
BLOOD;[583]
DONOR;[583]
ANTIGEN;[583]
B18;[583]
PROVE;[583, 981]
FREQUENT;[583]
RESPECT;[583, 583]
POPUL;[583]
ASSOCI;[583]
SEEM;[583, 981]
STRONGER;[583]
AIM;[782]
PRESENT;[782, 981]
DETERMIN;[782]
FREQUENC;[782, 782]
ETIOLO;[782]
FACTOR;[782, 782]
NEUROAXON;[782]
DYSTROPHI;[782]
BRAINSTEM;[782]
SPINAL;[782]
CORD;[782]
VARIOU;[782]
NON;[782]
NEUROLOG;[782]
MATERI;[782]
CONSIST;[782]
CONSECUT;[782]
AUTOPSI;[782]
PREVIOU;[782, 782]
YEAR;[782, 782]
FAR;[782]
COMMON;[782]
CAUS;[782, 981]
CHEMOTHERAPEUT;[782]
DRUG;[782, 782]
PARTICULARLI;[782]
VINCRISTIN;[782]
TREATMENT;[782]
MALIGN;[782]
TUMOR;[782]
APPROXIM;[782, 782]
DEVELOP;[782, 782, 782]
RANG;[782]
MILD;[782, 782, 782]
SEVER;[782, 782]
THIRD;[782, 782]
CONGEST;[782]
HEART;[782]
FAILUR;[782, 782, 782, 782]
RENAL;[782, 782, 782]
MOSTLI;[782]
CONGENIT;[782]
BILIARI;[782]
ATRESIA;[782]
MALNUTRIT;[782, 782]
ALWAY;[782]
INCREAS;[782, 782]
PROLONG;[782]
COURS;[782]
SEEN;[782]
DIE;[782]
TRAUMA;[782]
INTOX;[782]
PREMATUR;[782]
CONSID;[782]
REACTIV;[782]
WIDE;[782]
VARIETI;[782]
INJURI;[782]
TOXIC;[782]
HYPOXIA;[782]
EITHER;[782]
ALON;[782]
CONTRAST;[782]
REPORT;[782, 981]
LOW;[782]
INCID;[782]
SHARP;[782]
RECENT;[782]
DUE;[782]
ADVENT;[782]
CHEMOTHERAPI;[782]
RUSTER;[981, 981, 981, 981, 981]
EXAMIN;[981]
SODIUM;[981, 981]
INDUC;[981]
IONTOPHORESI;[981]
PILOCARPIN;[981]
DISTAL;[981]
FOREARM;[981]
UPPER;[981]
LIMIT;[981]
PROCEDUR;[981]
FOUND;[981, 981]
WAY;[981]
FAIL;[981]
CONFIRM;[981]
EARLIER;[981]
CHLORID;[981, 981]
PROPOS;[981]
RELATIONSHIP;[981]
SUBSTANTI;[981]
HYPERHIDROSI;[981, 981, 981]
PALM;[981]
VOLAR;[981]
SURFAC;[981]
FINGER;[981]
MAIN;[981]
CORROS;[981, 981, 981]
TENDENC;[981, 981]
REFER;[981]
PALMAR;[981]
PRODUC;[981]
SIMILAR;[981]
TOPIC;[981]
APPLIC;[981]
ALUMINIUM;[981]
HEXAHYDR;[981]
SOLUT;[981]
ABSOLUT;[981]
ETHYL;[981]
ALCOHOL;[981]
EFFECT;[981]
